Index,All Students,Minority,Economically Disadvantaged,Female,Male,Bil/ESL,Gifted,Special Ed,Title1,At Risk,Immigrant,Migrant,Dyslexic,Homeless,Foster Care,District,Year
134,13.2,0.867021277,0.596774194,0.757575758,0.242424242,0.333333333,0.423728814,0.333333333,0.666666667,0.531914894,0.333333333,0.333333333,0,0,0,57829,13
135,32.1,0.911971831,0.841772152,0.544827586,0.455172414,0.158227848,0.142857143,0.142857143,0.857142857,0.222222222,0.142857143,0.142857143,0,0,0,57838,13
136,18.2,0.923076923,0.869791667,0.544444444,0.455555556,0.305084746,0.111111111,0.12755102,0.888888889,0.389830508,0.111111111,0.111111111,0,0,0,57842,13
137,5.9,0.898785425,0.689320388,0.528301887,0.471698113,0.2,0.166666667,0.166666667,0.833333333,0.4,0.166666667,0.166666667,0,0,0,57843,13
138,49,0.675925926,0.462082912,0.563819095,0.436180905,0.025125628,0.37202381,0.024801587,0.024679171,0.268292683,0.0250501,0.024654832,0,0,0,57903,13
139,21.3,0.857142857,0.540540541,0.479166667,0.520833333,0.403225806,0.480769231,0.403225806,0.333333333,0.510204082,0.423728814,0.333333333,0,0,0,57904,13
140,25,0.879341051,0.755905512,0.597014925,0.402985075,0.050980392,0.31145735,0.011764706,0.917647059,0.28458498,0.011904762,0.003921569,0,0,0,57905,13
141,20,0.885321101,0.581632653,0.673267327,0.326732673,0.20661157,0.214285714,0.203252033,0.2,0.163265306,0.20661157,0.203252033,0,0,0,57906,13
142,54,0.895522388,0.594594595,0.693693694,0.306306306,0.187969925,0.243243243,0.166666667,0.166666667,0.309090909,0.186567164,0.166666667,0,0,0,57907,13
143,41.1,0.66374269,0.4,0.590909091,0.409090909,0.015151515,0.227272727,0.015151515,0.984848485,0.230769231,0.015384615,0.015151515,0,0,0,57909,13
144,22.3,0.837563452,0.560344828,0.598290598,0.401709402,0.03987069,0.285560345,0.026343519,0.301724138,0.260153677,0.026939655,0.026260504,0,0,0,57910,13
145,72.8,0.203463203,0.029411765,0.538555692,0.461444308,0.029868578,0.214198286,0.030156815,0.029411765,0.050617284,0.030084236,0.029411765,0,0,0,57911,13
146,27.5,0.860896445,0.656097561,0.559322034,0.440677966,0.058536585,0.292682927,0.020064205,0.020325203,0.388293487,0.024732069,0.019968051,0,0,0,57912,13
147,3.5,0.928571429,0.617346939,0.61928934,0.38071066,0.111111111,0.242718447,0.111111111,0.888888889,0.375,0.111111111,0.111111111,0,0,0,57913,13
148,40.8,0.766728625,0.531400966,0.562920269,0.437079731,0.024084778,0.344927536,0.023719165,0.239613527,0.190106693,0.023900574,0.023607177,0,0,0,57914,13
149,61.3,0.446092413,0.261124122,0.551020408,0.448979592,0.011124122,0.256440281,0.010538642,0.014425851,0.098004695,0.026995305,0.014425851,0,0,0,57916,13
150,64.5,0.468713105,0.081632653,0.533333333,0.466666667,0.032258065,0.433333333,0.032258065,0.032258065,0.066666667,0.033333333,0.032258065,0,0,0,57922,13
151,57.1,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,59901,13
152,100,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,60902,13
153,73.7,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,61501,13
154,47.2,0.422077922,0.213675214,0.566666667,0.433333333,0.035714286,0.296081277,0.034482759,0.034482759,0.140646976,0.034482759,0.034482759,0,0,0,61901,13
155,75.4,0.458698662,0.135096835,0.55738476,0.44261524,0.008974965,0.328294757,0.01174812,0.011627907,0.066476733,0.007597341,0.011676787,0,0,0,61902,13
156,28.6,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,61903,13
157,39,0.837988827,0.333333333,0.567567568,0.432432432,0.333333333,0.446428571,0.409836066,0.333333333,0.333333333,0.333333333,0.333333333,0,0,0,61905,13
158,90,0.857142857,0.166666667,0.285714286,0.714285714,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,61906,13
159,55.3,0.872093023,0.480769231,0.677419355,0.322580645,0.333333333,0.520833333,0.333333333,0.333333333,0.454545455,0.333333333,0.333333333,0,0,0,61907,13
160,13.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,61908,13
161,72.7,0.583657588,0.179856115,0.586206897,0.413793103,0.166666667,0.390625,0.166666667,0.166666667,0.182481752,0.166666667,0.166666667,0,0,0,61910,13
162,43.7,0.336459555,0.089873418,0.575376884,0.424623116,0.030750308,0.215189873,0.030750308,0.030712531,0.097186701,0.03101737,0.03030303,0,0,0,61911,13
163,54,0.763736264,0.320512821,0.552238806,0.447761194,0.25,0.328947368,0.274725275,0.25,0.294117647,0.25,0.25,0,0,0,61912,13
164,44.7,0.696581197,0.207142857,0.607142857,0.392857143,0.153374233,0.171428571,0.142857143,0.142857143,0.188405797,0.154320988,0.142857143,0,0,0,61914,13
165,4.2,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,62901,13
166,42.9,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,62904,13
167,14.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,64903,13
168,25,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,67903,13
169,22.2,0.77189781,0.260960334,0.582795699,0.417204301,0.05,0.319148936,0.05,0.05,0.326797386,0.05,0.05,0,0,0,68901,13
170,37.1,0.720472441,0.371428571,0.591549296,0.408450704,0.142857143,0.385714286,0.142857143,0.142857143,0.244604317,0.15625,0.142857143,0,0,0,70903,13
171,16.7,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,70905,13
172,58.2,0.479591837,0.097560976,0.621359223,0.378640777,0.108695652,0.27804878,0.108695652,0.1,0.073891626,0.109649123,0.1,0,0,0,70908,13
173,56.2,0.648241206,0.148514851,0.485148515,0.514851485,0.166666667,0.316831683,0.166666667,0.166666667,0.210084034,0.166666667,0.166666667,0,0,0,70911,13
174,31.8,0.65480427,0.248554913,0.572254335,0.427745665,0.125,0.242774566,0.126903553,0.875,0.143678161,0.125,0.125,0,0,0,70912,13
175,33.3,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,70915,13
176,20.8,0.857142857,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,71801,13
177,36.3,0.890350877,0.741176471,0.523255814,0.476744186,0.2,0.247524752,0.2,0.8,0.223529412,0.229357798,0.2,0,0,0,71806,13
178,35.4,0.941176471,0.802919708,0.551094891,0.448905109,0.083333333,0.109489051,0.083333333,0.916666667,0.238970588,0.088652482,0.084175084,0,0,0,71901,13
179,43.2,0.857685009,0.5,0.540983607,0.459016393,0.049180328,0.370967742,0.016393443,0.885245902,0.278688525,0.032786885,0.016393443,0,0,0,71902,13
180,26.2,0.888888889,0.596774194,0.603174603,0.396825397,0.367647059,0.423728814,0.367647059,0.666666667,0.416666667,0.373134328,0.378787879,0,0,0,71903,13
